name,team_name,position
Albert Sambi Lokonga,Arsenal,MID
Andre Harriman-Annous,Arsenal,MID
Benjamin White,Arsenal,DEF
Brayden Clarke,Arsenal,DEF
Bukayo Saka,Arsenal,MID
Christian Norgaard,Arsenal,MID
Cristhian Mosquera,Arsenal,DEF
David Raya Martin,Arsenal,GKP
Declan Rice,Arsenal,MID
Eberechi Eze,Arsenal,MID
Ethan Nwaneri,Arsenal,MID
Fabio Ferreira Vieira,Arsenal,MID
Gabriel Fernando de Jesus,Arsenal,FWD
Gabriel Martinelli Silva,Arsenal,MID
Gabriel dos Santos Magalhaes,Arsenal,DEF
Ismeal Kabia,Arsenal,MID
Jakub Kiwior,Arsenal,DEF
Josh Nichols,Arsenal,DEF
Jurrien Timber,Arsenal,DEF
Kai Havertz,Arsenal,FWD
Karl Hein,Arsenal,GKP
Kepa Arrizabalaga Revuelta,Arsenal,GKP
Leandro Trossard,Arsenal,MID
Maldini Kacurri,Arsenal,DEF
Marli Salmon,Arsenal,DEF
Martin Odegaard,Arsenal,MID
Martin Zubimendi Ibanez,Arsenal,MID
Max Dowman,Arsenal,MID
Mikel Merino Zazon,Arsenal,MID
Myles Lewis-Skelly,Arsenal,DEF
Noni Madueke,Arsenal,MID
Piero Hincapie,Arsenal,DEF
Riccardo Calafiori,Arsenal,DEF
Tommy Setford,Arsenal,GKP
Viktor Gyokeres,Arsenal,FWD
William Saliba,Arsenal,DEF
Alex Moreno Lopera,Aston Villa,DEF
Alysson Edward Franco da Rocha dos Santos,Aston Villa,MID
Amadou Onana,Aston Villa,MID
Andres Garcia,Aston Villa,DEF
Ben Broggio,Aston Villa,MID
Boubacar Kamara,Aston Villa,MID
Bradley Burrowes,Aston Villa,MID
Donyell Malen,Aston Villa,MID
Douglas Luiz Soares de Paulo,Aston Villa,MID
Emiliano Buendia Stati,Aston Villa,MID
Emiliano Martinez Romero,Aston Villa,GKP
Enzo Barrenechea,Aston Villa,MID
Ezri Konsa Ngoyo,Aston Villa,DEF
Filip Marschall,Aston Villa,GKP
George Hemmings,Aston Villa,MID
Harvey Elliott,Aston Villa,MID
Ian Maatsen,Aston Villa,DEF
Jadon Sancho,Aston Villa,MID
Jamaldeen Jimoh-Aloba,Aston Villa,MID
James Wright,Aston Villa,GKP
Joe Gauci,Aston Villa,GKP
John McGinn,Aston Villa,MID
Kadan Young,Aston Villa,MID
Lamare Bogarde,Aston Villa,DEF
Leander Dendoncker,Aston Villa,MID
Leon Bailey,Aston Villa,MID
Leon Routh,Aston Villa,DEF
Lewis Dobbin,Aston Villa,MID
Lino da Cruz Sousa,Aston Villa,DEF
Lucas Digne,Aston Villa,DEF
Marco Bizot,Aston Villa,GKP
Matty Cash,Aston Villa,DEF
Morgan Rogers,Aston Villa,MID
Ollie Watkins,Aston Villa,FWD
Pau Torres,Aston Villa,DEF
Ronnie Hollingshead,Aston Villa,GKP
Ross Barkley,Aston Villa,MID
Sam Proctor,Aston Villa,GKP
Samuel Iling-Junior,Aston Villa,MID
TJ Carroll,Aston Villa,DEF
Tammy Abraham,Aston Villa,FWD
Travis Patterson,Aston Villa,DEF
Triston Rowe,Aston Villa,DEF
Tyrone Mings,Aston Villa,DEF
Victor Lindelof,Aston Villa,DEF
Yasin Ozcan,Aston Villa,DEF
Youri Tielemans,Aston Villa,MID
Zepiqueno Redmond,Aston Villa,FWD
Adam Smith,Bournemouth,DEF
Adrien Truffert,Bournemouth,DEF
Alex Jimenez Sanchez,Bournemouth,DEF
Alex Paulsen,Bournemouth,GKP
Alex Scott,Bournemouth,MID
Alex Toth,Bournemouth,MID
Amine Adli,Bournemouth,MID
Bafode Diakite,Bournemouth,DEF
Ben Gannon-Doak,Bournemouth,MID
Ben Winterburn,Bournemouth,MID
Callan McKenna,Bournemouth,GKP
Charlie Stevens,Bournemouth,MID
Chris Mepham,Bournemouth,DEF
Christos Mandas,Bournemouth,GKP
Daniel Adu-Adjei,Bournemouth,FWD
David Brooks,Bournemouth,MID
Dominic Sadi,Bournemouth,MID
Dorde Petrovic,Bournemouth,GKP
Enes Unal,Bournemouth,FWD
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD
Fraser Forster,Bournemouth,GKP
Hamed Traore,Bournemouth,MID
Illia Zabarnyi,Bournemouth,DEF
James Hill,Bournemouth,DEF
Julian Araujo Zuniga,Bournemouth,DEF
Julio Soler Barreto,Bournemouth,DEF
Junior Kroupi,Bournemouth,FWD
Justin Kluivert,Bournemouth,MID
Lewis Cook,Bournemouth,MID
Luis Sinisterra Lucumi,Bournemouth,MID
Malcom DaCosta,Bournemouth,MID
Marcos Senesi Baron,Bournemouth,DEF
Marcus Tavernier,Bournemouth,MID
Matai Akinmboni,Bournemouth,DEF
Norberto Murara Neto,Bournemouth,GKP
Owen Bevan,Bournemouth,DEF
Philip Billing,Bournemouth,MID
Rayan Vitor Simplicio Rocha,Bournemouth,MID
Remy Rees-Dottin,Bournemouth,MID
Romain Faivre,Bournemouth,MID
Ryan Christie,Bournemouth,MID
Tyler Adams,Bournemouth,MID
Veljko Milosavljevic,Bournemouth,DEF
Will Dennis,Bournemouth,GKP
Zain Silcott-Duberry,Bournemouth,MID
Aaron Hickey,Brentford,DEF
Antoni Milambo,Brentford,MID
Benjamin Arthur,Brentford,DEF
Benjamin Fredrick,Brentford,DEF
Caoimhin Kelleher,Brentford,GKP
Dango Ouattara,Brentford,MID
Ellery Balcombe,Brentford,GKP
Ethan Pinnock,Brentford,DEF
Fabio Freitas Gouveia Carvalho,Brentford,MID
Frank Onyeka,Brentford,MID
Gustavo Nunes Fernandes Gomes,Brentford,MID
Hakon Rafn Valdimarsson,Brentford,GKP
Igor Thiago Nascimento Rodrigues,Brentford,FWD
Iwan Morgan,Brentford,FWD
Jayden Meghoma,Brentford,DEF
Jordan Henderson,Brentford,MID
Josh Dasilva,Brentford,MID
Julian Eyestone,Brentford,GKP
Kaye Furo,Brentford,FWD
Keane Lewis-Potter,Brentford,DEF
Kevin Schade,Brentford,MID
Kim Ji-soo,Brentford,DEF
Kristoffer Ajer,Brentford,DEF
Luka Bentt,Brentford,MID
Mads Roerslev Rasmussen,Brentford,DEF
Mathias Jensen,Brentford,MID
